Academic_Level,Income,Registration_Time,Recency,Liquor,Vegetables,Pork,Seafood,Candy,Jewellery,Num_Deals_Purchases,Num_Web_Purchases,Num_Catalog_Purchases,Num_Store_Purchases,Num_Web_Visits_Month,Promo_30,Promo_40,Promo_50,Promo_10,Promo_20,Complain,Gender,Total_Purchase,Payment_Method,Age,Total_Spending,Marital_Status,Num_Of_Child
Graduation,61074,17-08-2021,37,790,2,133,0,28,152,7,11,5,8,7,0,-1,0,0,0,0,Other,31,Card,31,1105,Married,1
Graduation,60093,26-06-2022,92,503,14,109,16,6,90,2,7,2,10,6,0,0,0,0,0,0,Male,21,Mobile,36,738,Married,1
2n Cycle,79689,12-05-2022,65,312,28,640,180,37,121,1,4,9,13,2,0,-1,0,0,0,0,Female,27,Online,47,1318,Single,0
Master,41021,30-12-2021,12,15,9,9,6,16,12,2,2,0,3,6,0,0,0,0,0,0,Female,7,Online,38,67,Together,1
PhD,57333,22-09-2021,55,942,16,397,76,58,176,11,8,5,9,6,0,-1,0,0,0,0,Male,33,Card,29,1665,Divorced,1
PhD,75032,28-04-2022,74,953,14,180,47,12,12,2,5,4,9,3,0,-1,0,0,0,0,Female,20,Cash,29,1218,Married,1
Graduation,83715,03-02-2023,2,319,10,407,150,35,8,1,2,8,13,0,0,-1,0,0,0,0,Other,24,Mobile,31,929,Married,0
Graduation,31814,09-02-2022,73,36,5,20,4,1,20,2,2,0,3,9,1,1,0,0,0,0,Female,7,Not Provided,35,86,Married,1
Graduation,75693,06-12-2021,10,798,155,293,72,97,30,1,11,4,6,4,0,-1,0,1,0,0,Other,22,Online,40,1445,Divorced,0
PhD,40344,13-10-2022,48,211,2,6,0,0,2,2,4,1,5,7,0,-1,0,0,0,0,Male,12,Cash,40,221,Married,1
PhD,50150,20-06-2022,32,136,48,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,Male,16,Mobile,42,413,Married,0
Master,46106,11-05-2023,84,31,2,8,2,0,14,1,1,1,2,6,0,0,0,0,0,0,Other,5,Online,38,57,Together,2
Graduation,31880,31-10-2021,13,5,3,5,2,0,3,1,1,0,2,8,0,-1,0,0,0,0,Female,4,Not Provided,39,18,Widow,1
Graduation,68627,12-01-2022,45,396,17,263,60,54,38,1,2,3,6,1,0,0,0,0,0,0,Other,12,Card,30,828,Single,0
